t_history	r_history	delta_ts	ys
0,3,3,3,3,4,5,6,10,15,26,38,64,99,161,16,25,41,4,7,13,17,21,53	4,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,4,3	3,3,3,3,4,5,6,10,15,26,38,64,99,161,16,25,41,4,7,13,17,21,53,94	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
0,2,2,3,5,5,5,8,14,22,38,68,116	4,2,2,2,2,2,3,3,3,3,3,3,3	2,2,3,5,5,5,8,14,22,38,68,116,213	1,1,1,1,1,1,1,1,1,1,1,1,1
0,4,4,5,5,6,9,17,1,3,5,8,13,25,45,1,3,5,9,13,21,32,51,75	4,2,2,2,2,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3	4,4,5,5,6,9,17,1,3,5,8,13,25,45,1,3,5,9,13,21,32,51,75,229	1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,5,7,12,19,35,67,128	3,3,2,2,2,2,3,3,3,3,3,3	1,1,3,5,5,7,12,19,35,67,128,252	1,1,1,1,1,1,1,1,1,1,1,1
0,3,4,4,5,1,3,6,11,17,31,50,83	1,2,2,2,1,2,3,3,3,3,3,3,3	3,4,4,5,1,3,6,11,17,31,50,83,143	1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,3,4,4,7,13,25,52,103	3,3,2,2,2,3,3,3,3,3,3	1,1,3,4,4,7,13,25,52,103,210	1,1,1,1,1,1,1,1,1,1,1
0,3,5,7,9,1,3,1,4,6,8,1,1,3,5,7,10,14,18,23,27,38,51,68,89,146	1,2,2,2,1,3,1,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3	3,5,7,9,1,3,1,4,6,8,1,1,3,5,7,10,14,18,23,27,38,51,68,89,146,224	1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,4,5,7,15,28,54,99,194	3,2,2,2,2,3,3,3,3,3,2	1,2,4,5,7,15,28,54,99,194,162	1,1,1,1,1,1,1,1,1,1,1
0,1,1,3,3,5,5,7,11,20,38,63,111	3,3,2,2,2,2,2,3,3,3,3,3,3	1,1,3,3,5,5,7,11,20,38,63,111,198	1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,4,6,7,15,24,44,1,3,6,12,20,30,49,82,132	3,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3	1,2,4,6,7,15,24,44,1,3,6,12,20,30,49,82,132,273	1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,2,4,5,5,7,13,22,35,61,110	3,2,2,2,2,2,3,3,3,3,3,3	1,2,4,5,5,7,13,22,35,61,110,191	1,1,1,1,1,1,1,1,1,1,1,1
0,3,1,3,4,6,9,17,30,50,86,1,3,6,11,19,27,44,69,96,171,1,17,23,35	1,1,2,2,2,2,3,3,3,3,1,3,4,3,3,3,3,3,2,3,1,3,3,3,3	3,1,3,4,6,9,17,30,50,86,1,3,6,11,19,27,44,69,96,171,1,17,23,35,41	0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,2,2,3,4,4,5,7,13,29,50,87	3,2,2,2,2,2,2,3,3,4,3,3,3	1,2,2,3,4,4,5,7,13,29,50,87,150	1,1,1,1,1,1,1,1,1,1,1,1,1
0,3,5,6,9,20,41,82	3,2,2,2,3,3,3,3	3,5,6,9,20,41,82,174	1,1,1,1,1,1,1,1
0,3,3,4,6,8,13,16,30,48,1,4,1,3,5,7,1,3,5,7,11,16,23,29,41,52,129	1,2,2,2,2,3,2,3,3,1,3,1,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3	3,3,4,6,8,13,16,30,48,1,4,1,3,5,7,1,3,5,7,11,16,23,29,41,52,129,204	1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,2,2,2,2,4,5,8,14,24,43,82	3,2,2,2,2,3,3,3,3,3,3,3	2,2,2,2,4,5,8,14,24,43,82,156	1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,4,6,11,23,45,94	3,4,2,2,2,3,3,3,3,3	1,1,2,4,6,11,23,45,94,188	1,1,1,1,1,1,1,1,1,1
0,1,1,5,1,3,6,1,2,4,6,10,18,1,3,5,1,3,4,7,12,1,2,4,6,10,13,1,3,5,8,12,16,22,31,39,51,133	3,1,1,1,3,3,1,3,3,3,3,3,1,3,3,1,3,2,3,3,1,2,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3	1,1,5,1,3,6,1,2,4,6,10,18,1,3,5,1,3,4,7,12,1,2,4,6,10,13,1,3,5,8,12,16,22,31,39,51,133,210	0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,4,6,14,32,73,85,188,1,18,42	4,2,3,3,3,2,3,1,3,3,4	4,6,14,32,73,85,188,1,18,42,132	1,1,1,1,1,1,0,1,1,1,1
0,5,11,14,35,83	4,3,2,3,3,3	5,11,14,35,83,204	1,1,1,1,1,1
0,3,3,6,7,1,3,5,1,4,6,8,10,11,1,3,4,6,8,11,14,1,3,7,8,1,3,4,6,8,12,14,19,24,30,36,48,119	1,2,3,2,1,3,2,1,3,3,3,2,2,1,3,2,3,3,3,3,1,3,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3	3,3,6,7,1,3,5,1,4,6,8,10,11,1,3,4,6,8,11,14,1,3,7,8,1,3,4,6,8,12,14,19,24,30,36,48,119,188	1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,3,1,2,2,2,4,8,14,22,1,3,5,7,11,19,28,42,68,108	1,1,2,2,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3	3,1,2,2,2,4,8,14,22,1,3,5,7,11,19,28,42,68,108,354	0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,3,1,2,3,6,10,19,39,80	1,1,3,2,3,3,3,3,3,3	3,1,2,3,6,10,19,39,80,169	0,1,1,1,1,1,1,1,1,1
0,1,3,4,5,6,10,17,33,63,127	3,4,2,2,2,3,3,3,3,3,3	1,3,4,5,6,10,17,33,63,127,264	1,1,1,1,1,1,1,1,1,1,1
0,1,1,3,5,10,23,54,121,265,1,3,7,12,28,59	3,3,2,2,3,3,3,3,3,1,3,3,3,3,3,3	1,1,3,5,10,23,54,121,265,1,3,7,12,28,59,121	1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,3,1,1,4,6,12,25,53,111	1,1,1,3,3,3,3,3,3,3	3,1,1,4,6,12,25,53,111,236	0,0,1,1,1,1,1,1,1,1
0,1,1,2,2,3,6,13,29,58,123	3,3,2,2,2,3,3,3,3,3,3	1,1,2,2,3,6,13,29,58,123,259	1,1,1,1,1,1,1,1,1,1,1
0,1,1,2,4,6,12,27,55,140	3,3,2,2,2,3,3,3,4,3	1,1,2,4,6,12,27,55,140,317	1,1,1,1,1,1,1,1,1,1
0,5,7,1,2,4,8,18,37,77	4,2,1,3,2,3,3,3,3,3	5,7,1,2,4,8,18,37,77,161	1,0,1,1,1,1,1,1,1,1
0,1,2,4,5,11,21,42,86	3,2,2,2,3,3,3,3,3	1,2,4,5,11,21,42,86,172	1,1,1,1,1,1,1,1,1
0,3,3,4,10,1,3,1,2,3,4,8,15,1,3,5,1,3,5,9,14,17,20,26,1,3,5,8,12,17,25,27,40,52,134	3,2,2,3,1,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,4	3,3,4,10,1,3,1,2,3,4,8,15,1,3,5,1,3,5,9,14,17,20,26,1,3,5,8,12,17,25,27,40,52,134,236	1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,5,5,12,29,64,155,181,13,32,3,5,12,32	3,4,2,3,3,3,3,3,3,3,3,3,3,3,3	1,5,5,12,29,64,155,181,13,32,3,5,12,32,80	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,12,1,2,4,7,14,26,55,115	3,2,2,3,1,3,3,3,3,3,3,3,3	1,3,5,12,1,2,4,7,14,26,55,115,226	1,1,1,0,1,1,1,1,1,1,1,1,1
0,5,1,2,5,9,21,42,89	4,1,2,3,3,3,3,3,3	5,1,2,5,9,21,42,89,196	0,1,1,1,1,1,1,1,1
0,4,5,5,11,21,50,108	4,2,2,3,3,3,3,3	4,5,5,11,21,50,108,235	1,1,1,1,1,1,1,1
0,1,3,4,10,19,45,100	3,2,2,3,3,3,3,3	1,3,4,10,19,45,100,215	1,1,1,1,1,1,1,1
0,6,39,33,130,1,1,4,9,28	4,3,2,3,1,3,3,3,3,3	6,39,33,130,1,1,4,9,28,90	1,1,1,0,1,1,1,1,1,1
0,3,5,5,13,30,69,149	1,2,2,3,3,3,3,3	3,5,5,13,30,69,149,325	1,1,1,1,1,1,1,1
0,1,1,3,3,5,11,21,46,93	3,3,2,2,2,3,3,3,3,3	1,1,3,3,5,11,21,46,93,181	1,1,1,1,1,1,1,1,1,1
0,3,5,5,9,17,41,92	4,2,2,3,3,3,3,3	3,5,5,9,17,41,92,211	1,1,1,1,1,1,1,1
0,1,2,4,7,8,11,18,27,38,70	3,3,2,3,3,3,3,3,3,3,3	1,2,4,7,8,11,18,27,38,70,127	1,1,1,1,1,1,1,1,1,1,1
0,1,2,3,3,4,6,9,12,15,21,29,48,80	3,2,2,2,3,3,3,3,4,3,3,3,3,4	1,2,3,3,4,6,9,12,15,21,29,48,80,172	1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,2,5,1,3,6,5,1,3,5,7,11,12,1,3,5,7,11,16,22,27,38,52,66,135,7,19,22,9,25,57	3,2,2,3,1,3,3,2,1,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,2,2,5,1,3,6,5,1,3,5,7,11,12,1,3,5,7,11,16,22,27,38,52,66,135,7,19,22,9,25,57,141	1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,10,25,52,119	3,2,2,3,3,3,3,3	1,3,5,10,25,52,119,262	1,1,1,1,1,1,1,1
0,1,2,4,10,23,48,105	3,2,2,3,3,3,3,3	1,2,4,10,23,48,105,238	1,1,1,1,1,1,1,1
0,1,3,4,6,11,23,54,121	3,2,2,3,3,3,3,3,3	1,3,4,6,11,23,54,121,253	1,1,1,1,1,1,1,1,1
0,1,2,4,11,25,60,149	3,2,3,3,3,3,3,3	1,2,4,11,25,60,149,361	1,1,1,1,1,1,1,1
0,1,3,3,5,11,24,51,63,131,255,1,2,4,7,1,3,5,9,15,22,45	3,2,2,3,3,3,3,2,3,3,1,2,3,3,1,3,3,3,3,3,4,3	1,3,3,5,11,24,51,63,131,255,1,2,4,7,1,3,5,9,15,22,45,76	1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,1,3,4,7,14,43,98	3,2,2,3,3,4,3,3	1,3,4,7,14,43,98,238	1,1,1,1,1,1,1,1
0,1,3,4,6,14,32,72,152	3,2,2,3,3,3,3,3,3	1,3,4,6,14,32,72,152,345	1,1,1,1,1,1,1,1,1
0,1,2,3,1,2,4,12,27,58,118	3,2,2,1,3,3,4,3,3,3,3	1,2,3,1,2,4,12,27,58,118,257	1,1,0,1,1,1,1,1,1,1,1
0,1,3,3,5,8,9,13,15,18,25,43,74,129	3,2,2,3,3,3,3,3,3,3,3,3,3,3	1,3,3,5,8,9,13,15,18,25,43,74,129,1102	1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,3,5,7,10,14,17,24,32,58,92,112	3,2,2,3,3,3,3,3,3,3,3,3,2,3	1,2,3,5,7,10,14,17,24,32,58,92,112,343	1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,7,9,13,18,24,28,50,85	3,2,2,3,3,3,3,3,3,3,3,3	1,3,5,7,9,13,18,24,28,50,85,142	1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,3,5,6,7,9,12,12,15,17,19,30,49,78,115	3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3	1,2,3,5,6,7,9,12,12,15,17,19,30,49,78,115,360	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,4,8,17,37,1,3,7,14,24,47,91	3,2,2,3,3,3,1,3,3,3,3,3,3,3	1,3,4,8,17,37,1,3,7,14,24,47,91,175	1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,5,10,23,58,148	4,3,3,3,3,3	5,10,23,58,148,363	1,1,1,1,1,1
0,5,14,38,98	4,3,3,3,3	5,14,38,98,256	1,1,1,1,1
0,1,2,5,13,35,1,2,4,1,3,6,12,1,3,5,7,10,18,34,55,95	1,3,3,3,3,1,2,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3	1,2,5,13,35,1,2,4,1,3,6,12,1,3,5,7,10,18,34,55,95,339	1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,4,12,15,33,74	1,3,3,2,3,3,3	1,4,12,15,33,74,169	1,1,1,1,1,1,1
0,3,9,19,20,48,1,3,7,13,31,40,81	4,3,3,2,3,1,3,3,3,3,2,3,3	3,9,19,20,48,1,3,7,13,31,40,81,158	1,1,1,1,0,1,1,1,1,1,1,1,1
0,4,1,2,5,16,40,101	4,1,3,3,4,3,3,3	4,1,2,5,16,40,101,257	0,1,1,1,1,1,1,1
0,1,2,4,1,3,7,18,1,3,7,8,1,3,4,6,9,14,25,39,62,103,333,34	1,3,3,1,3,3,3,1,3,3,2,1,3,2,3,3,3,3,3,3,3,3,1,3	1,2,4,1,3,7,18,1,3,7,8,1,3,4,6,9,14,25,39,62,103,333,34,57	1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,2,1,3,6,13,32,1,1,3,5,11,22,1,3,5,7,9,13,19,21,30,43,65	1,3,1,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3	1,2,1,3,6,13,32,1,1,3,5,11,22,1,3,5,7,9,13,19,21,30,43,65,207	1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,5,13,35,89	4,3,3,3,3	5,13,35,89,221	1,1,1,1,1
0,3,9,33,90,238	4,3,4,3,3,2	3,9,33,90,238,347	1,1,1,1,1,1
0,3,8,9,18,54,142	4,3,2,3,4,3,3	3,8,9,18,54,142,368	1,1,1,1,1,1,1
0,3,7,15,20,44,1,3,7,14,30,60	4,3,3,2,3,1,3,3,3,3,3,3	3,7,15,20,44,1,3,7,14,30,60,135	1,1,1,1,0,1,1,1,1,1,1,1
0,4,10,25,65,168	4,3,3,3,3,3	4,10,25,65,168,409	1,1,1,1,1,1
0,3,5,13,33,40,92	1,3,3,3,2,3,3	3,5,13,33,40,92,215	1,1,1,1,1,1,1
0,1,3,6,1,2,2,4,10,24,51,1,3,6,13,23,59	1,3,3,1,3,2,3,3,3,3,1,3,3,3,3,4,3	1,3,6,1,2,2,4,10,24,51,1,3,6,13,23,59,120	1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,5,11,30,1,3,6,7,14,27,59	4,3,3,1,3,3,2,3,3,3,4	5,11,30,1,3,6,7,14,27,59,157	1,1,0,1,1,1,1,1,1,1,1
0,3,8,17,43,103	1,3,3,3,3,3	3,8,17,43,103,256	1,1,1,1,1,1
0,1,3,1,3,6,13,1,3,5,10,22,49,105	3,3,1,3,3,3,1,3,3,3,3,3,3,3	1,3,1,3,6,13,1,3,5,10,22,49,105,230	1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,3,9,20,46,1,3,6,15,1,1,3,5,14,30,58	1,3,3,3,1,3,3,3,1,1,3,3,4,3,3,3	3,9,20,46,1,3,6,15,1,1,3,5,14,30,58,122	1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
0,1,1,4,10,23,54,118	1,1,3,3,3,3,3,3	1,1,4,10,23,54,118,283	0,1,1,1,1,1,1,1
0,1,1,1,1,4,7,1,1,4,6,10,17,25,30,1,3,5,1,3,5,9,10,12,14,20,29,37,46,55,137	1,1,1,1,3,3,1,4,3,3,3,3,3,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,4,7,1,1,4,6,10,17,25,30,1,3,5,1,3,5,9,10,12,14,20,29,37,46,55,137,221	0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,4,8,17,43,107	4,3,3,3,3,3	4,8,17,43,107,261	1,1,1,1,1,1
0,3,8,20,46,118	4,3,3,3,3,3	3,8,20,46,118,306	1,1,1,1,1,1
0,1,4,1,4,11,12,1,1,3,5,1,3,5,9,12,16,22,1,3,5,8,9,12,14,22,31,39,53,137,119,196,3,4,4	1,3,1,3,3,2,1,1,3,3,1,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3	1,4,1,4,11,12,1,1,3,5,1,3,5,9,12,16,22,1,3,5,8,9,12,14,22,31,39,53,137,119,196,3,4,4,6	1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,3,8,20,52,64,2,3,7,15,35,72	4,3,3,3,2,1,3,3,3,3,3,3	3,8,20,52,64,2,3,7,15,35,72,153	1,1,1,1,0,1,1,1,1,1,1,1
0,1,4,9,24,60,151	1,3,3,3,3,3,3	1,4,9,24,60,151,384	1,1,1,1,1,1,1
0,3,8,19,46,119	1,3,3,3,3,3	3,8,19,46,119,310	1,1,1,1,1,1
0,3,9,22,56,139	4,3,3,3,3,3	3,9,22,56,139,361	1,1,1,1,1,1
0,1,2,1,2,3,5,1,4,1,4,6,1,3,5,10,16,30,52,87,150,121	1,3,1,3,3,3,1,3,1,3,3,1,3,3,3,3,3,3,3,3,2,3	1,2,1,2,3,5,1,4,1,4,6,1,3,5,10,16,30,52,87,150,121,221	1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,4,11,23,59,148	3,3,3,3,3,3,3	1,4,11,23,59,148,362	1,1,1,1,1,1,1
0,1,2,4,10,11,26,1,3,6,11,22,48,97,187	3,2,3,3,2,3,1,3,3,3,3,3,3,3,2	1,2,4,10,11,26,1,3,6,11,22,48,97,187,160	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,2,6,13,13,26,61,1,1,2,4,8,13,29,62	1,3,3,3,2,3,3,1,4,2,3,3,3,3,3,3	1,2,6,13,13,26,61,1,1,2,4,8,13,29,62,122	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,3,8,17,41,106	4,3,3,3,3,3	3,8,17,41,106,252	1,1,1,1,1,1
0,8,59	4,3,3	8,59,243	1,1,1
0,3,1,4,9,11,24,27,50,100,210,21,17,14,29,54	4,1,3,3,2,3,2,3,3,3,1,2,2,3,3,3	3,1,4,9,11,24,27,50,100,210,21,17,14,29,54,95	0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,2,5,10,24,60,141	3,2,3,3,3,3,3,3	1,2,5,10,24,60,141,322	1,1,1,1,1,1,1,1
0,1,2,4,4,8,18,42,90	3,2,3,2,3,3,3,3,3	1,2,4,4,8,18,42,90,194	1,1,1,1,1,1,1,1,1
0,3,6,20,51,132	4,3,4,3,3,3	3,6,20,51,132,345	1,1,1,1,1,1
0,1,1,4,11,1,3,7,17,42,1,3,5,11,23,46,98	1,1,3,3,1,3,3,4,3,1,3,3,3,3,3,3,3	1,1,4,11,1,3,7,17,42,1,3,5,11,23,46,98,206	0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,3,5,10,27,65,159	4,3,3,3,3,3,3	3,5,10,27,65,159,403	1,1,1,1,1,1,1
0,1,1,4,1,3,7,16,1,3,6,10,14,24,41,68,122	1,1,3,1,3,3,3,1,3,3,3,2,3,3,3,3,3	1,1,4,1,3,7,16,1,3,6,10,14,24,41,68,122,441	0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,4,11,31,73,91	4,3,3,3,2,3	4,11,31,73,91,219	1,1,1,1,1,1
0,3,5,13,31,105	4,3,3,3,4,3	3,5,13,31,105,284	1,1,1,1,1,1
0,3,9,1,3,7,17,38,1,3,7,14,27,58	3,3,1,3,3,3,3,1,3,3,3,3,3,3	3,9,1,3,7,17,38,1,3,7,14,27,58,122	1,0,1,1,1,1,0,1,1,1,1,1,1,1
0,1,2,5,11,1,3,7,17,53,126	3,3,3,3,1,3,3,3,4,3,3	1,2,5,11,1,3,7,17,53,126,315	1,1,1,0,1,1,1,1,1,1,1
0,1,3,9,27,2,6,14	1,3,3,3,1,3,3,3	1,3,9,27,2,6,14,39	1,1,1,0,1,1,1,1
0,1,2,4,9,11,1,3,5,10,1,3,5,7,12,21,38,58,97,151	1,2,2,3,2,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3	1,2,4,9,11,1,3,5,10,1,3,5,7,12,21,38,58,97,151,304	1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,2,5,11,11,24,1,3,6,13,15,1,3,6,1,1,3,5,6,9,11,16,22,29,41,56,76,124	1,3,3,3,2,3,1,3,3,3,2,1,3,3,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3	1,2,5,11,11,24,1,3,6,13,15,1,3,6,1,1,3,5,6,9,11,16,22,29,41,56,76,124,191	1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,14,34,81	3,3,2,4,3,3,3	1,3,5,14,34,81,206	1,1,1,1,1,1,1
0,1,3,9,20,1,4,9,1,3,7,8,17,30,1,3,1,3,5,7,10,14,20,33,48,77	1,2,3,3,1,4,3,1,3,3,2,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3	1,3,9,20,1,4,9,1,3,7,8,17,30,1,3,1,3,5,7,10,14,20,33,48,77,234	1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,14,1,3,5,11,14,1,2,4,6,12,24,42,78,156	3,3,3,4,1,3,3,3,2,1,2,3,3,3,3,3,3,3,3	1,3,5,14,1,3,5,11,14,1,2,4,6,12,24,42,78,156,369	1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,4,10,28,66,162	4,3,3,3,3,3	4,10,28,66,162,394	1,1,1,1,1,1
0,3,9,25,68,178	4,3,4,3,3,3	3,9,25,68,178,477	1,1,1,1,1,1
0,5,1,3,7,16,37,1,3,5,11,24,53,116,244	4,1,3,3,3,3,1,3,3,3,3,3,3,3,2	5,1,3,7,16,37,1,3,5,11,24,53,116,244,209	0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,3,8,22	3,3,3,3	3,8,22,52	1,1,1,1
0,4,9,23	4,3,3,3	4,9,23,53	1,1,1,1
0,2,6,9,10,19	4,3,2,2,3,3	2,6,9,10,19,38	1,1,1,1,1,1
0,2,6,17,43,1,3,5,10,20	4,3,3,3,1,3,3,3,3,3	2,6,17,43,1,3,5,10,20,49	1,1,1,0,1,1,1,1,1,1
0,4,10,22	4,3,3,3	4,10,22,57	1,1,1,1
0,2,4,11,30	4,3,3,3,3	2,4,11,30,71	1,1,1,1,1
0,3,9,23	4,3,3,4	3,9,23,76	1,1,1,1
0,3,6,15,1,3,5,10,25	4,3,3,1,3,3,3,3,3	3,6,15,1,3,5,10,25,57	1,1,0,1,1,1,1,1,1
0,2,6,16,41	4,3,3,3,3	2,6,16,41,103	1,1,1,1,1
0,2,4,10,33,20	4,3,3,4,4,3	2,4,10,33,20,114	1,1,1,1,1,1
0,1,4,1,2,4,10,13,21,12,35	3,3,1,2,2,3,2,3,3,3,3	1,4,1,2,4,10,13,21,12,35,63	1,0,1,1,1,1,1,1,1,1,1
0,3,5,11,30,79	4,3,3,3,3,3	3,5,11,30,79,202	1,1,1,1,1,1
0,5,13,35,91	4,3,3,3,3	5,13,35,91,230	1,1,1,1,1
0,4,9,17,30,76	4,3,3,3,4,3	4,9,17,30,76,159	1,1,1,1,1,1
0,1,3,7,13,25,46	3,3,3,3,3,3,3	1,3,7,13,25,46,94	1,1,1,1,1,1,1
0,2,3,5,8,15,33,66	4,3,3,3,3,3,3,3	2,3,5,8,15,33,66,137	1,1,1,1,1,1,1,1
0,3,7,12,27,51	4,3,3,3,3,3	3,7,12,27,51,98	1,1,1,1,1,1
0,2,5,5,1,2,5,8,16,39,74	3,3,2,1,3,3,3,4,4,3,3	2,5,5,1,2,5,8,16,39,74,147	1,1,0,1,1,1,1,1,1,1,1
0,1,2,5,6,12,1,3,5,7,11,18,28,36,57	3,3,3,2,3,1,3,3,3,3,3,3,2,3,3	1,2,5,6,12,1,3,5,7,11,18,28,36,57,81	1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,2,3,5,7,10,17,22,30,42,62,99,1,3,9	3,3,2,2,3,3,2,3,3,3,3,1,3,3,3	2,3,5,7,10,17,22,30,42,62,99,1,3,9,26	1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,3,7,13,23,58	3,3,3,3,3,4,3	1,3,7,13,23,58,123	1,1,1,1,1,1,1
0,2,5,12,22,43,85	1,3,3,3,3,3,3	2,5,12,22,43,85,168	1,1,1,1,1,1,1
0,3,5,9,18,43	1,3,3,3,4,3	3,5,9,18,43,93	1,1,1,1,1,1
0,3,6,1,1,3,4,5,10,14,21,30,44,69	3,3,1,1,3,3,2,4,3,3,3,3,3,3	3,6,1,1,3,4,5,10,14,21,30,44,69,114	1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,3,5,10,10,17,33,39,67,113,1,3,5	1,3,3,2,3,3,2,3,3,1,3,3,3	3,5,10,10,17,33,39,67,113,1,3,5,16	1,1,1,1,1,1,1,1,0,1,1,1,1
0,2,1,2,3,4,5,10,17,33,58	3,1,3,3,3,3,3,3,3,3,3	2,1,2,3,4,5,10,17,33,58,102	0,1,1,1,1,1,1,1,1,1,1
0,2,4,9,18,33,69,1,3,5,8,14,34,69,1,3,5,8,12	4,3,3,3,3,3,1,3,3,3,3,4,3,1,3,3,3,3,3	2,4,9,18,33,69,1,3,5,8,14,34,69,1,3,5,8,12,21	1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
0,2,3,6,8,12,21,34,55,1,3,5,6,9,1,3,5,7,11,16,18,25,35	1,2,3,2,3,3,3,3,1,3,3,2,3,1,3,3,3,3,3,3,3,3,3	2,3,6,8,12,21,34,55,1,3,5,6,9,1,3,5,7,11,16,18,25,35,46	1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,3,7,16,28,58	4,3,3,3,3,3	3,7,16,28,58,110	1,1,1,1,1,1
0,1,2,6,17,43,102,1,3,6,15	3,3,3,3,3,3,1,3,3,3,3	1,2,6,17,43,102,1,3,6,15,39	1,1,1,1,1,0,1,1,1,1,1
0,5,10,12,25,54	4,3,2,3,3,3	5,10,12,25,54,131	1,1,1,1,1,1
0,1,3,5,12,28,70	3,3,3,3,3,3,3	1,3,5,12,28,70,178	1,1,1,1,1,1,1
